forecast_date,generated_at,SensorID,District,Latitude,Longitude,Muhit_harorat (C),Shamol_tezligi (km/h),Chastota (Hz),Kuchlanish (V),Vibratsiya,Sim_mexanik_holati (%),Atrof_muhit_humidity (%),Quvvati (kW),Fault_predicted,Fault_probability
2026-05-18,2026-05-11 17:17:10,S0003,Bektemir,41.292671,69.366938,43.3,6.6,48.98,228.2,0.7668,83.9,95.0,3.14,2,0.7201
2026-05-12,2026-05-11 17:17:10,S0004,Bektemir,41.277905,69.366043,38.0,1.1,49.74,225.5,0.8769,94.5,59.8,3.1,0,0.0297
2026-05-13,2026-05-11 17:17:10,S0004,Bektemir,41.277905,69.366043,41.0,3.5,49.58,220.7,0.9156,94.8,58.4,3.24,1,0.3797
2026-05-14,2026-05-11 17:17:10,S0004,Bektemir,41.277905,69.366043,44.7,2.5,49.67,229.4,0.8742,98.4,62.3,2.72,1,0.3797
2026-05-15,2026-05-11 17:17:10,S0004,Bektemir,41.277905,69.366043,40.1,3.8,49.61,228.9,0.8547,96.2,65.1,2.54,1,0.3797
2026-05-16,2026-05-11 17:17:10,S0004,Bektemir,41.277905,69.366043,43.3,3.2,49.57,225.9,0.9401,99.8,62.2,2.4,1,0.3797
2026-05-17,2026-05-11 17:17:10,S0004,Bektemir,41.277905,69.366043,42.4,3.1,49.45,223.7,0.9911,100.0,62.0,2.72,1,0.3797
2026-05-18,2026-05-11 17:17:10,S0004,Bektemir,41.277905,69.366043,46.1,0.7,49.46,226.4,0.9882,100.0,63.9,2.66,2,0.7297
2026-05-12,2026-05-11 17:17:10,S0005,Bektemir,41.286039,69.369654,37.0,10.8,50.28,239.3,0.7201,68.9,61.0,4.61,2,0.7215
2026-05-13,2026-05-11 17:17:10,S0005,Bektemir,41.286039,69.369654,36.2,11.1,49.99,235.6,0.6923,69.2,67.7,4.49,2,0.7215
2026-05-14,2026-05-11 17:17:10,S0005,Bektemir,41.286039,69.369654,35.8,12.3,50.13,236.0,0.7618,71.5,65.0,4.08,2,0.7215
2026-05-15,2026-05-11 17:17:10,S0005,Bektemir,41.286039,69.369654,38.5,12.1,50.0,232.3,0.7765,71.4,64.0,4.07,2,0.7215
2026-05-16,2026-05-11 17:17:10,S0005,Bektemir,41.286039,69.369654,34.1,12.0,50.07,231.3,0.7579,74.0,67.6,4.51,2,0.7215
2026-05-17,2026-05-11 17:17:10,S0005,Bektemir,41.286039,69.369654,37.1,13.5,50.08,229.2,0.83,73.8,68.4,4.87,2,0.7215
2026-05-18,2026-05-11 17:17:10,S0005,Bektemir,41.286039,69.369654,38.0,11.6,49.87,228.8,0.7019,71.9,65.3,5.27,2,0.7215
2026-05-12,2026-05-11 17:17:10,S0006,Bektemir,41.30687,69.345983,29.7,9.7,49.79,217.1,0.5073,93.4,64.0,1.99,0,0.0344
2026-05-13,2026-05-11 17:17:10,S0006,Bektemir,41.30687,69.345983,33.4,9.3,49.91,219.3,0.5022,90.8,66.3,2.06,0,0.0344
2026-05-14,2026-05-11 17:17:10,S0006,Bektemir,41.30687,69.345983,30.0,9.1,50.08,217.8,0.3657,93.3,66.5,1.79,0,0.0344
2026-05-15,2026-05-11 17:17:10,S0006,Bektemir,41.30687,69.345983,29.3,8.1,49.9,219.4,0.345,92.9,70.0,2.12,0,0.0344
2026-05-16,2026-05-11 17:17:10,S0006,Bektemir,41.30687,69.345983,27.5,7.8,50.15,218.4,0.382,94.3,65.5,1.4,0,0.0344
2026-05-17,2026-05-11 17:17:10,S0006,Bektemir,41.30687,69.345983,30.4,7.2,50.08,219.3,0.4533,93.4,67.6,1.9,0,0.0344
2026-05-18,2026-05-11 17:17:10,S0006,Bektemir,41.30687,69.345983,26.3,7.1,49.97,217.6,0.4438,93.0,66.6,1.79,0,0.0344
2026-05-12,2026-05-11 17:17:10,S0007,Bektemir,41.278925,69.35542,35.2,9.1,49.5,226.1,0.1692,85.7,54.4,3.23,0,0.0317
2026-05-13,2026-05-11 17:17:10,S0007,Bektemir,41.278925,69.35542,37.5,10.1,49.53,229.2,0.0777,90.1,47.8,2.32,0,0.0317
2026-05-14,2026-05-11 17:17:10,S0007,Bektemir,41.278925,69.35542,36.1,11.7,49.35,234.6,0.01,86.1,46.4,2.47,1,0.3817
2026-05-15,2026-05-11 17:17:10,S0007,Bektemir,41.278925,69.35542,36.1,11.2,49.57,231.1,0.1558,88.4,45.9,2.66,1,0.3817
2026-05-16,2026-05-11 17:17:10,S0007,Bektemir,41.278925,69.35542,37.8,12.0,49.35,228.8,0.0579,85.6,41.6,2.2,1,0.3817
2026-05-17,2026-05-11 17:17:10,S0007,Bektemir,41.278925,69.35542,37.8,12.9,49.35,231.9,0.14,89.2,55.7,2.52,1,0.3817
2026-05-18,2026-05-11 17:17:10,S0007,Bektemir,41.278925,69.35542,39.2,11.5,49.47,230.2,0.1613,86.6,46.8,2.32,1,0.3817
2026-05-12,2026-05-11 17:17:10,S0008,Bektemir,41.277162,69.352751,35.6,6.7,50.29,231.2,0.6047,94.5,64.8,3.3,1,0.3718
2026-05-13,2026-05-11 17:17:10,S0008,Bektemir,41.277162,69.352751,33.9,5.0,50.38,226.8,0.7455,95.5,62.8,3.61,0,0.0218
2026-05-14,2026-05-11 17:17:10,S0008,Bektemir,41.277162,69.352751,35.2,7.1,50.4,226.6,0.4679,96.9,54.5,3.33,0,0.0218
2026-05-15,2026-05-11 17:17:10,S0008,Bektemir,41.277162,69.352751,37.5,5.1,50.46,226.1,0.4855,97.3,48.3,2.94,0,0.0218
2026-05-16,2026-05-11 17:17:10,S0008,Bektemir,41.277162,69.352751,36.4,5.5,50.32,227.6,0.4753,97.1,52.3,3.41,0,0.0218
2026-05-17,2026-05-11 17:17:10,S0008,Bektemir,41.277162,69.352751,35.3,6.4,50.34,228.9,0.4551,94.5,45.6,3.13,0,0.0218
2026-05-18,2026-05-11 17:17:10,S0008,Bektemir,41.277162,69.352751,35.7,5.8,50.31,226.3,0.3694,97.5,46.3,3.27,0,0.0218
2026-05-12,2026-05-11 17:17:10,S0009,Bektemir,41.30713,69.354562,36.9,13.2,50.25,206.6,0.6867,85.0,71.9,3.66,1,0.368
2026-05-13,2026-05-11 17:17:10,S0009,Bektemir,41.30713,69.354562,36.4,12.8,50.32,206.7,0.6936,85.1,76.1,3.9,1,0.368
2026-05-14,2026-05-11 17:17:10,S0009,Bektemir,41.30713,69.354562,35.5,13.4,50.42,211.1,0.6831,84.3,75.0,4.8,1,0.368
2026-05-15,2026-05-11 17:17:10,S0009,Bektemir,41.30713,69.354562,35.2,13.9,50.35,205.8,0.4687,83.6,78.8,4.72,1,0.368
2026-05-16,2026-05-11 17:17:10,S0009,Bektemir,41.30713,69.354562,32.6,12.4,50.27,212.6,0.5689,83.8,76.2,4.52,1,0.368
2026-05-17,2026-05-11 17:17:10,S0009,Bektemir,41.30713,69.354562,33.1,13.8,50.39,213.6,0.531,82.4,75.0,5.1,1,0.368
2026-05-18,2026-05-11 17:17:10,S0009,Bektemir,41.30713,69.354562,32.9,13.8,50.47,210.3,0.4955,84.2,74.6,5.28,1,0.368
2026-05-12,2026-05-11 17:17:10,S0010,Bektemir,41.299859,69.332637,36.0,6.9,49.67,229.0,0.1087,94.5,64.6,4.44,0,0.0369
2026-05-13,2026-05-11 17:17:10,S0010,Bektemir,41.299859,69.332637,35.6,5.6,49.57,233.4,0.2441,93.6,75.4,4.86,1,0.3869
2026-05-14,2026-05-11 17:17:10,S0010,Bektemir,41.299859,69.332637,39.1,5.5,49.5,229.3,0.3096,95.1,75.0,4.46,0,0.0369
2026-05-15,2026-05-11 17:17:10,S0010,Bektemir,41.299859,69.332637,31.9,5.4,49.59,229.9,0.1942,97.3,80.2,5.11,1,0.3869
2026-05-16,2026-05-11 17:17:10,S0010,Bektemir,41.299859,69.332637,38.1,5.9,49.61,228.4,0.4027,92.5,74.8,5.13,1,0.3869
2026-05-17,2026-05-11 17:17:10,S0010,Bektemir,41.299859,69.332637,36.3,5.6,49.57,228.7,0.509,98.3,83.0,5.32,1,0.3869
2026-05-18,2026-05-11 17:17:10,S0010,Bektemir,41.299859,69.332637,39.1,5.0,49.55,231.7,0.3405,95.5,75.6,4.94,1,0.3869
2026-05-12,2026-05-11 17:17:10,S0011,Bektemir,41.27844,69.375668,32.0,13.2,50.18,232.0,0.598,94.3,64.4,4.17,1,0.3779
2026-05-13,2026-05-11 17:17:10,S0011,Bektemir,41.27844,69.375668,36.0,15.9,50.3,235.4,0.8126,89.1,56.7,3.87,1,0.3779
2026-05-14,2026-05-11 17:17:10,S0011,Bektemir,41.27844,69.375668,33.2,14.1,50.26,232.7,0.7318,94.2,69.9,3.99,1,0.3779
2026-05-15,2026-05-11 17:17:10,S0011,Bektemir,41.27844,69.375668,28.6,15.2,50.46,239.7,0.6575,93.7,60.5,3.86,1,0.3779
2026-05-16,2026-05-11 17:17:10,S0011,Bektemir,41.27844,69.375668,31.5,12.1,50.5,232.2,0.8558,95.3,64.1,3.99,1,0.3779
2026-05-17,2026-05-11 17:17:10,S0011,Bektemir,41.27844,69.375668,31.3,12.8,50.45,241.0,0.7092,91.5,58.1,4.03,2,0.7279
2026-05-18,2026-05-11 17:17:10,S0011,Bektemir,41.27844,69.375668,31.0,13.6,50.58,230.3,0.7986,93.8,55.7,4.0,1,0.3779
2026-05-12,2026-05-11 17:17:10,S0012,Bektemir,41.285351,69.387841,32.4,12.3,49.9,217.2,0.3139,94.3,83.4,3.27,0,0.0196
2026-05-13,2026-05-11 17:17:10,S0012,Bektemir,41.285351,69.387841,32.6,11.8,49.79,216.6,0.4438,92.2,91.3,2.76,1,0.3696
2026-05-14,2026-05-11 17:17:10,S0012,Bektemir,41.285351,69.387841,30.8,13.2,49.97,220.5,0.3503,97.3,89.6,2.77,0,0.0196
2026-05-15,2026-05-11 17:17:10,S0012,Bektemir,41.285351,69.387841,31.1,12.7,49.92,219.0,0.3478,95.5,89.8,3.12,0,0.0196
2026-05-16,2026-05-11 17:17:10,S0012,Bektemir,41.285351,69.387841,31.7,11.5,49.64,216.6,0.2502,94.2,95.0,2.25,1,0.3696
2026-05-17,2026-05-11 17:17:10,S0012,Bektemir,41.285351,69.387841,33.4,12.8,49.87,215.3,0.2827,98.5,95.0,2.36,1,0.3696
2026-05-18,2026-05-11 17:17:10,S0012,Bektemir,41.285351,69.387841,30.1,12.2,49.71,216.4,0.2389,96.9,95.0,2.41,1,0.3696
2026-05-12,2026-05-11 17:17:10,S0013,Bektemir,41.28458,69.370531,36.1,10.5,50.13,223.0,0.8479,89.8,85.6,2.56,0,0.031
2026-05-13,2026-05-11 17:17:10,S0013,Bektemir,41.28458,69.370531,33.6,11.4,50.28,222.3,0.6915,93.2,79.5,2.58,0,0.031
2026-05-14,2026-05-11 17:17:10,S0013,Bektemir,41.28458,69.370531,35.0,12.0,50.15,222.1,0.7237,93.1,81.7,2.9,0,0.031
2026-05-15,2026-05-11 17:17:10,S0013,Bektemir,41.28458,69.370531,35.0,12.7,50.12,218.1,0.7592,93.8,73.5,3.07,0,0.031
2026-05-16,2026-05-11 17:17:10,S0013,Bektemir,41.28458,69.370531,35.4,13.3,50.02,214.7,0.6778,92.1,81.5,2.73,0,0.031
2026-05-17,2026-05-11 17:17:10,S0013,Bektemir,41.28458,69.370531,35.3,13.9,50.1,216.9,0.5786,97.5,82.1,2.64,0,0.031
2026-05-18,2026-05-11 17:17:10,S0013,Bektemir,41.28458,69.370531,34.5,13.0,50.16,217.8,0.6919,92.5,80.3,2.56,0,0.031
2026-05-12,2026-05-11 17:17:10,S0014,Bektemir,41.291342,69.368944,23.7,10.5,49.69,218.5,0.4734,96.6,86.8,3.69,0,0.019
2026-05-13,2026-05-11 17:17:10,S0014,Bektemir,41.291342,69.368944,24.2,11.3,49.58,221.2,0.7103,97.2,74.7,3.72,0,0.019
2026-05-14,2026-05-11 17:17:10,S0014,Bektemir,41.291342,69.368944,22.6,10.7,49.46,222.7,0.6617,94.9,80.3,3.84,1,0.369
2026-05-15,2026-05-11 17:17:10,S0014,Bektemir,41.291342,69.368944,27.5,9.7,49.36,217.7,0.6836,100.0,83.1,3.72,1,0.369
2026-05-16,2026-05-11 17:17:10,S0014,Bektemir,41.291342,69.368944,19.3,11.4,49.42,216.6,0.7965,98.9,77.5,3.79,1,0.369
2026-05-17,2026-05-11 17:17:10,S0014,Bektemir,41.291342,69.368944,21.7,10.6,49.31,221.7,0.6281,98.3,82.9,3.71,1,0.369
2026-05-18,2026-05-11 17:17:10,S0014,Bektemir,41.291342,69.368944,24.5,10.6,49.2,220.9,0.6364,100.0,75.9,3.81,1,0.369
2026-05-12,2026-05-11 17:17:10,S0015,Bektemir,41.294506,69.363233,23.2,11.7,49.53,219.2,0.0546,90.8,82.2,4.67,0,0.0187
2026-05-13,2026-05-11 17:17:10,S0015,Bektemir,41.294506,69.363233,24.1,13.0,49.3,221.5,0.1067,90.5,67.4,4.8,1,0.3687
2026-05-14,2026-05-11 17:17:10,S0015,Bektemir,41.294506,69.363233,27.7,12.3,49.55,224.1,0.1455,92.9,81.6,5.33,1,0.3687
2026-05-15,2026-05-11 17:17:10,S0015,Bektemir,41.294506,69.363233,27.7,15.4,49.29,223.4,0.1963,89.6,78.1,4.66,1,0.3687
2026-05-16,2026-05-11 17:17:10,S0015,Bektemir,41.294506,69.363233,26.5,15.1,49.48,223.4,0.2135,89.1,76.1,4.95,1,0.3687
2026-05-17,2026-05-11 17:17:10,S0015,Bektemir,41.294506,69.363233,30.2,16.7,49.36,221.8,0.219,86.7,85.0,5.04,1,0.3687
2026-05-18,2026-05-11 17:17:10,S0015,Bektemir,41.294506,69.363233,30.0,15.7,49.62,223.7,0.191,84.0,91.8,4.96,1,0.3687
2026-05-12,2026-05-11 17:17:10,S0016,Bektemir,41.273716,69.334483,32.4,7.5,50.33,213.0,0.6637,99.1,33.3,4.23,0,0.0316
2026-05-13,2026-05-11 17:17:10,S0016,Bektemir,41.273716,69.334483,32.0,7.8,50.58,211.3,0.7437,99.4,32.9,4.6,1,0.3816
2026-05-14,2026-05-11 17:17:10,S0016,Bektemir,41.273716,69.334483,32.7,8.2,50.46,216.9,0.7108,99.9,34.0,4.89,0,0.0316
2026-05-15,2026-05-11 17:17:10,S0016,Bektemir,41.273716,69.334483,31.4,6.6,50.48,214.9,0.8471,98.3,34.6,4.88,0,0.0316
2026-05-16,2026-05-11 17:17:10,S0016,Bektemir,41.273716,69.334483,34.9,8.5,50.57,208.9,0.8522,100.0,25.0,4.73,1,0.3816
2026-05-17,2026-05-11 17:17:10,S0016,Bektemir,41.273716,69.334483,33.0,8.1,50.51,208.4,0.7762,100.0,25.0,4.66,1,0.3816
2026-05-18,2026-05-11 17:17:10,S0016,Bektemir,41.273716,69.334483,27.8,7.8,50.67,210.8,0.9305,100.0,25.0,4.66,1,0.3816
2026-05-12,2026-05-11 17:17:10,S0017,Bektemir,41.276342,69.336188,35.0,10.0,49.66,227.3,0.0229,92.9,66.7,4.98,0,0.0246
2026-05-13,2026-05-11 17:17:10,S0017,Bektemir,41.276342,69.336188,34.8,9.3,49.8,225.8,0.0127,91.0,57.2,4.98,0,0.0246
2026-05-14,2026-05-11 17:17:10,S0017,Bektemir,41.276342,69.336188,31.0,10.7,49.74,224.5,0.01,90.3,56.7,4.85,0,0.0246
2026-05-15,2026-05-11 17:17:10,S0017,Bektemir,41.276342,69.336188,35.3,11.0,49.78,224.8,0.0393,91.2,54.0,4.82,0,0.0246
2026-05-16,2026-05-11 17:17:10,S0017,Bektemir,41.276342,69.336188,33.3,10.8,49.77,224.1,0.056,90.1,57.5,4.76,0,0.0246
2026-05-17,2026-05-11 17:17:10,S0017,Bektemir,41.276342,69.336188,33.8,11.8,49.87,220.2,0.01,88.1,52.1,4.96,0,0.0246
2026-05-18,2026-05-11 17:17:10,S0017,Bektemir,41.276342,69.336188,35.2,12.2,49.88,221.6,0.01,83.6,50.2,5.18,1,0.3746
2026-05-12,2026-05-11 17:17:10,S0018,Bektemir,41.270091,69.348238,31.2,12.0,50.0,221.7,0.3442,82.1,85.2,3.41,1,0.3755
2026-05-13,2026-05-11 17:17:10,S0018,Bektemir,41.270091,69.348238,29.3,11.9,49.86,217.7,0.3516,84.5,92.1,3.25,1,0.3755
2026-05-14,2026-05-11 17:17:10,S0018,Bektemir,41.270091,69.348238,28.1,11.8,49.82,222.3,0.269,82.6,85.0,3.28,1,0.3755
2026-05-15,2026-05-11 17:17:10,S0018,Bektemir,41.270091,69.348238,29.2,12.3,49.81,223.6,0.1404,81.4,88.4,2.96,1,0.3755
2026-05-16,2026-05-11 17:17:10,S0018,Bektemir,41.270091,69.348238,27.5,13.1,49.84,222.1,0.293,82.5,88.3,2.66,1,0.3755
2026-05-17,2026-05-11 17:17:10,S0018,Bektemir,41.270091,69.348238,27.8,11.1,49.97,224.4,0.3443,84.2,88.2,2.85,1,0.3755
2026-05-18,2026-05-11 17:17:10,S0018,Bektemir,41.270091,69.348238,25.8,13.2,49.86,223.7,0.3157,83.6,93.3,2.47,1,0.3755
2026-05-12,2026-05-11 17:17:10,S0019,Bektemir,41.291663,69.352309,31.1,14.6,50.4,234.3,0.5452,99.5,60.7,4.51,1,0.3749
2026-05-13,2026-05-11 17:17:10,S0019,Bektemir,41.291663,69.352309,32.8,14.2,50.46,233.9,0.4632,100.0,62.4,4.29,1,0.3749
2026-05-14,2026-05-11 17:17:10,S0019,Bektemir,41.291663,69.352309,30.5,15.8,50.67,230.1,0.6173,100.0,66.4,4.55,1,0.3749
2026-05-15,2026-05-11 17:17:10,S0019,Bektemir,41.291663,69.352309,27.8,16.4,50.59,224.9,0.4737,100.0,65.5,4.57,1,0.3749
2026-05-16,2026-05-11 17:17:10,S0019,Bektemir,41.291663,69.352309,30.1,15.8,50.61,229.5,0.6143,100.0,63.0,4.97,1,0.3749
2026-05-17,2026-05-11 17:17:10,S0019,Bektemir,41.291663,69.352309,27.3,17.6,50.6,228.3,0.596,100.0,73.1,4.75,1,0.3749
2026-05-18,2026-05-11 17:17:10,S0019,Bektemir,41.291663,69.352309,29.6,16.4,50.52,220.1,0.7349,100.0,65.3,4.97,1,0.3749
2026-05-12,2026-05-11 17:17:10,S0020,Bektemir,41.300003,69.39275,35.6,6.7,50.98,225.4,0.6742,83.8,43.2,4.16,1,0.3895
2026-05-13,2026-05-11 17:17:10,S0020,Bektemir,41.300003,69.39275,39.5,6.5,50.4,227.0,0.6907,83.7,41.8,3.63,1,0.3895
2026-05-14,2026-05-11 17:17:10,S0020,Bektemir,41.300003,69.39275,39.0,8.9,50.38,226.8,0.6169,86.5,46.1,3.9,0,0.0395
2026-05-15,2026-05-11 17:17:10,S0020,Bektemir,41.300003,69.39275,41.3,9.1,50.37,225.3,0.5066,82.9,39.6,4.07,1,0.3895
2026-05-16,2026-05-11 17:17:10,S0020,Bektemir,41.300003,69.39275,45.3,9.5,50.13,226.1,0.6654,88.0,38.3,3.46,2,0.7395
2026-05-17,2026-05-11 17:17:10,S0020,Bektemir,41.300003,69.39275,43.1,10.7,50.33,225.6,0.693,85.7,38.2,3.54,1,0.3895
2026-05-18,2026-05-11 17:17:10,S0020,Bektemir,41.300003,69.39275,44.4,10.1,50.27,224.3,0.5647,86.4,34.4,3.55,1,0.3895
2026-05-12,2026-05-11 17:17:10,S0021,Bektemir,41.279933,69.345358,38.7,0.0,49.88,217.2,0.3955,86.3,76.5,2.76,0,0.0201
2026-05-13,2026-05-11 17:17:10,S0021,Bektemir,41.279933,69.345358,38.6,2.2,49.67,219.1,0.3592,88.0,67.6,2.39,0,0.0201
2026-05-14,2026-05-11 17:17:10,S0021,Bektemir,41.279933,69.345358,39.1,1.2,49.77,217.7,0.3428,86.3,74.8,2.81,0,0.0201
2026-05-15,2026-05-11 17:17:10,S0021,Bektemir,41.279933,69.345358,40.0,0.7,49.72,217.6,0.2717,89.0,72.1,2.58,0,0.0201
2026-05-16,2026-05-11 17:17:10,S0021,Bektemir,41.279933,69.345358,40.4,0.0,49.89,221.0,0.1017,86.8,73.9,2.3,1,0.3701
2026-05-17,2026-05-11 17:17:10,S0021,Bektemir,41.279933,69.345358,38.2,0.0,49.63,218.0,0.0876,91.5,67.7,2.72,0,0.0201
2026-05-18,2026-05-11 17:17:10,S0021,Bektemir,41.279933,69.345358,40.4,0.0,49.62,216.4,0.0107,91.9,75.8,2.29,1,0.3701
2026-05-12,2026-05-11 17:17:10,S0022,Bektemir,41.295952,69.367223,41.4,6.5,49.58,224.0,0.9967,74.6,68.9,3.29,2,0.7172
2026-05-13,2026-05-11 17:17:10,S0022,Bektemir,41.295952,69.367223,41.7,7.5,49.4,229.9,1.071,74.3,68.6,3.16,2,0.7172
2026-05-14,2026-05-11 17:17:10,S0022,Bektemir,41.295952,69.367223,40.2,5.7,49.45,227.0,1.1408,74.5,55.1,3.4,2,0.7172
2026-05-15,2026-05-11 17:17:10,S0022,Bektemir,41.295952,69.367223,40.4,5.3,49.53,228.1,1.0512,74.7,67.3,3.23,2,0.7172
2026-05-16,2026-05-11 17:17:10,S0022,Bektemir,41.295952,69.367223,39.4,6.6,49.52,223.1,1.0278,72.2,53.4,2.82,2,0.7172
2026-05-17,2026-05-11 17:17:10,S0022,Bektemir,41.295952,69.367223,43.1,6.1,49.4,224.5,1.1484,74.4,69.4,3.23,2,0.7172
2026-05-18,2026-05-11 17:17:10,S0022,Bektemir,41.295952,69.367223,42.5,7.2,49.49,225.9,1.2536,72.4,60.2,2.79,2,0.7172
2026-05-12,2026-05-11 17:17:10,S0023,Bektemir,41.29963,69.3701,33.8,10.5,50.22,225.9,0.7121,92.1,74.9,3.49,0,0.0284
2026-05-13,2026-05-11 17:17:10,S0023,Bektemir,41.29963,69.3701,34.7,8.3,50.39,224.2,0.7942,95.0,64.9,4.32,0,0.0284
2026-05-14,2026-05-11 17:17:10,S0023,Bektemir,41.29963,69.3701,32.5,10.9,50.41,224.9,0.7292,95.6,76.6,4.11,0,0.0284
2026-05-15,2026-05-11 17:17:10,S0023,Bektemir,41.29963,69.3701,34.0,11.4,50.49,230.1,0.6291,96.6,74.5,4.12,1,0.3784
2026-05-16,2026-05-11 17:17:10,S0023,Bektemir,41.29963,69.3701,32.5,9.2,50.5,227.4,0.916,96.7,75.5,3.81,0,0.0284
2026-05-17,2026-05-11 17:17:10,S0023,Bektemir,41.29963,69.3701,35.8,9.5,50.57,228.6,0.8396,91.1,80.4,4.2,1,0.3784
2026-05-18,2026-05-11 17:17:10,S0023,Bektemir,41.29963,69.3701,34.4,9.9,50.49,228.1,0.7461,92.1,72.0,4.26,0,0.0284
2026-05-12,2026-05-11 17:17:10,S0024,Bektemir,41.277578,69.389222,40.4,11.0,49.95,220.8,0.9279,98.2,68.3,3.96,1,0.3729
2026-05-13,2026-05-11 17:17:10,S0024,Bektemir,41.277578,69.389222,43.5,8.2,50.1,225.2,0.9051,100.0,73.5,3.14,1,0.3729
2026-05-14,2026-05-11 17:17:10,S0024,Bektemir,41.277578,69.389222,44.3,8.7,50.03,228.8,0.8084,100.0,83.5,4.02,1,0.3729
2026-05-15,2026-05-11 17:17:10,S0024,Bektemir,41.277578,69.389222,42.3,9.5,50.14,223.3,0.7849,100.0,81.1,3.43,1,0.3729
2026-05-16,2026-05-11 17:17:10,S0024,Bektemir,41.277578,69.389222,45.3,5.3,50.19,227.6,0.849,100.0,86.6,3.72,2,0.7229
2026-05-17,2026-05-11 17:17:10,S0024,Bektemir,41.277578,69.389222,45.7,6.1,50.1,231.0,0.8801,100.0,82.7,3.75,2,0.7229
2026-05-18,2026-05-11 17:17:10,S0024,Bektemir,41.277578,69.389222,47.8,8.4,50.02,226.8,0.7369,100.0,85.6,3.81,2,0.7229
2026-05-12,2026-05-11 17:17:10,S0025,Bektemir,41.290782,69.37669,30.3,18.3,49.91,218.9,0.6729,80.5,55.4,4.0,1,0.372
2026-05-13,2026-05-11 17:17:10,S0025,Bektemir,41.290782,69.37669,28.1,19.8,50.04,220.0,0.7085,81.3,46.4,4.01,1,0.372
2026-05-14,2026-05-11 17:17:10,S0025,Bektemir,41.290782,69.37669,27.8,17.5,50.11,222.6,0.6347,81.1,52.5,4.49,1,0.372
2026-05-15,2026-05-11 17:17:10,S0025,Bektemir,41.290782,69.37669,32.1,18.4,50.05,219.0,0.6571,76.0,54.7,3.59,1,0.372
